Ad clicked Date,Ad Title/Id
2025/09/17 20:30:26 UTC,834610456
2025/05/13 18:54:32 UTC,145111864
2025/09/18 13:07:57 UTC,833859733
2025/05/13 18:01:36 UTC,427698984
2025/09/29 17:41:58 UTC,840779816
2025/05/13 15:15:42 UTC,651869046
2025/10/06 14:51:11 UTC,848692293
2025/05/21 18:22:38 UTC,502576076
2025/10/09 19:28:56 UTC,716748963
2025/05/23 02:10:51 UTC,494469536
2025/10/09 17:17:54 UTC,893467136
2025/05/29 16:24:23 UTC,700611976
2025/10/10 13:25:48 UTC,885820026
2025/05/29 16:24:24 UTC,700611976
2025/10/14 21:24:08 UTC,900926846
2025/06/05 12:53:42 UTC,677666973
2025/10/13 19:21:33 UTC,899819026
2025/06/09 22:20:49 UTC,692803686
2025/10/15 19:30:10 UTC,876344973
2025/06/17 17:57:53 UTC,677706303
2025/10/21 20:14:04 UTC,892428576
2025/06/17 17:56:20 UTC,680396644
2025/10/22 18:09:45 UTC,885552836
2025/06/24 21:31:39 UTC,680517934
2025/10/29 13:54:01 UTC,675744536
2025/06/30 18:57:06 UTC,702210564
2025/10/15 00:01:44 UTC,545943196
2025/07/09 19:36:07 UTC,427698984
2025/10/30 19:40:21 UTC,931720656
2025/07/16 16:50:43 UTC,655497143
2025/10/31 22:23:16 UTC,698937883
2025/07/23 13:12:50 UTC,672920954
2025/11/04 13:43:27 UTC,427698984
2025/07/22 20:55:57 UTC,714991474
2025/11/06 16:33:26 UTC,898504476
2025/07/31 13:22:26 UTC,649973193
2025/11/10 23:31:11 UTC,771235854
2025/07/31 13:23:09 UTC,649973193
2025/11/10 23:31:22 UTC,771235854
2025/08/05 18:25:47 UTC,644104466
2025/11/16 19:25:42 UTC,925222306
2025/08/07 00:55:44 UTC,145111864
2025/11/17 22:52:40 UTC,910618764
2025/08/07 19:03:28 UTC,427698984
2025/11/18 02:40:38 UTC,926174556
2025/08/07 20:15:13 UTC,617970826
2025/11/21 22:06:12 UTC,960108936
2025/08/07 19:03:58 UTC,427698984
2025/11/25 20:48:36 UTC,869299394
2025/08/07 19:04:40 UTC,427698984
2025/11/26 16:34:58 UTC,942161263
2025/08/07 19:05:20 UTC,427698984
2025/12/04 20:45:26 UTC,947484946
2025/08/07 19:06:03 UTC,427698984
2025/12/04 20:45:26 UTC,947484946
2025/08/14 14:41:32 UTC,672481624
2025/12/18 16:35:04 UTC,969467573
2025/09/02 16:30:37 UTC,427698984
2025/12/19 20:08:41 UTC,981389656
2025/09/02 22:22:59 UTC,741193196
2024/08/07 00:18:09 UTC,424137033
2024/02/20 21:19:35 UTC,225839286
2024/08/07 00:18:14 UTC,424137033
2024/02/26 01:53:39 UTC,366797246
2024/08/17 17:31:21 UTC,444519303
2024/02/27 21:11:11 UTC,225839286
2024/08/21 15:44:42 UTC,435442224
2024/02/29 20:39:49 UTC,271239324
2024/09/01 21:23:24 UTC,399099114
2024/02/29 20:39:50 UTC,271239324
2024/09/17 20:58:30 UTC,510049186
2024/03/02 02:08:33 UTC,145111864
2024/10/01 21:41:37 UTC,495486774
