ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=director, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",7578220194
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=senior consultant, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",7578220186
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=client principal, workflowContext={savedSearch=urn:li:savedSearch:1166694013}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100197101}]}}, facets={}}",1166694013
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=, workflowContext={savedSearch=urn:li:savedSearch:971458583}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90000664}]}}, facets={}}",971458583
