Date,Type,Link
2025-09-10 20:57:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7371613172451045376
2025-09-10 13:17:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7371530621774639104
2025-09-09 13:03:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7370833353979211776
2025-08-25 21:34:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7365755091154259968
2025-08-13 20:33:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7360728880359305216
2025-08-13 16:08:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7361396839553662976
2025-08-12 21:11:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7361128144482787329
2025-08-05 19:53:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7358568052713508865
2025-08-01 13:39:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7343753257447546881
2025-07-29 17:52:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7355992445521723393
2025-07-15 13:46:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350872441621020672
2025-07-15 01:42:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350595991194009603
2025-07-06 17:10:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7347663590268579842
2025-06-26 16:46:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343996247617286147
2025-06-14 16:00:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333878214345334786
2025-06-14 03:15:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7339488778375372800
2025-06-12 19:04:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338944646238138370
2025-06-10 22:42:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338222190435225602
2025-06-10 22:41:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338316616692076544
2025-06-10 00:53:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7337898249611075586
2025-06-03 14:07:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7335662983349477377
2025-05-29 23:56:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333976432374652928
2025-05-29 15:38:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333855258432987136
2025-05-29 13:44:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333841394207244289
2025-05-29 13:44:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7333614559158558720
2025-05-28 23:48:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333607434906734593
2025-05-28 23:33:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333603667566075904
2025-05-23 13:23:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7331665520066244608
2025-05-22 16:37:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7331356377786818560
2025-05-15 20:43:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7328871910476234754
2025-05-07 17:05:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7320072881168658432
2025-05-02 00:10:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7323837187874066432
2025-04-24 14:58:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7321174932611084288
2025-04-16 13:41:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318256018797309953
2025-04-16 00:18:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7318063720817954816
2025-04-09 18:32:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7315784419603079168
2025-04-02 15:27:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7311009401711063040
2025-03-31 22:56:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7312526455660261376
2025-03-24 16:51:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7309916695039537152
2025-03-18 23:46:56,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7307796040722563074
2025-03-18 15:41:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7307769224993665024
2025-03-18 14:11:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7301350775757103105
2025-03-04 19:03:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7302763135810129921
2025-02-14 23:23:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7296250401375354880
2025-02-06 18:14:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7293296511063314433
2025-02-06 18:14:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7293296366028476416
2025-01-29 19:03:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7290416750154637314
2025-01-15 00:45:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7279262055327494144
2025-01-13 18:52:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7284630843174576128
2025-01-12 16:52:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7283657895345299456
2025-01-08 19:11:45,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7282779882961444865
2025-01-02 20:06:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7280672517956976640
2024-11-25 18:02:26,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7264658929282961408
2024-11-16 14:26:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7257506140811415552
2024-11-14 20:37:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7262909301076193281
2024-11-04 17:20:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7259248889289928704
2024-10-31 17:19:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257554629394132992
2024-10-31 17:18:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7257758717507514369
2024-09-25 17:56:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7244758987454263296
2024-09-20 17:16:23,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7242927010769965056
2024-08-07 19:24:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7226962153738510336
2024-07-10 19:31:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7216865524062810113
2024-06-29 15:08:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7212753982815944704
2024-06-28 20:18:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7212527701755080704
2024-06-16 14:45:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7208064741276008450
2024-06-07 20:02:39,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7204922633996357632
2024-03-19 17:18:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7175887025890316288
2024-03-19 17:16:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7175877949416443905
2024-03-11 20:12:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7172965903389581312
2024-03-11 20:11:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173022264320323584
2024-03-08 17:34:45,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7171916331334651904
2024-03-07 02:31:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7169003649942175745
2024-02-29 14:03:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168925010651254785
2024-02-19 22:38:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165453328682856448
2023-11-03 20:19:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7126249224152764416
2023-10-27 18:30:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7123730230145425408
2023-10-12 14:40:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7118236635086917632
2023-09-14 14:08:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105564540599242752
2023-08-31 16:09:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7102992923062927360
2023-07-08 14:07:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7082706234532892672
2023-06-20 19:37:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7076938489346367488
2023-06-12 12:28:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7073846737332834304
2023-01-06 16:10:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017156089053925376
2023-01-04 01:34:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016076394375880704
2022-11-15 14:26:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998265023651352577
2022-10-26 23:13:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6991122836388003840
2022-10-14 16:43:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6986685763652378624
2022-10-12 17:44:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6985882626947518464
2022-08-26 17:37:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6968971439509037056
2022-08-12 19:47:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963925442927935488
2022-08-09 00:05:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6962525903079800832
2022-08-03 22:57:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6960636057457483776
2022-07-18 19:50:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6954881244992065536
2022-06-24 16:12:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6946126068986634240
2022-05-27 18:09:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6935912177723736064
2022-04-11 18:58:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919343783373381633
2022-03-08 17:33:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906985449957797888
2022-03-05 14:25:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905265942545448960
2022-01-29 00:20:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6892485293644087296
2022-01-25 14:53:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6891753353874145280
2022-01-07 18:25:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6885030107228995584
2022-01-07 18:25:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6885216491541680128
2021-12-28 15:25:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6878782607484690432
2021-12-16 18:02:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6877303054799126528
2021-12-14 02:43:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6876279421767036928
2021-12-06 22:53:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6872304467065364480
2021-12-02 14:16:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6869254591339343873
2021-11-16 20:28:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6866410158432559104
2021-10-10 00:40:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6852337271434219520
2021-09-30 19:51:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6849365184495140864
2021-08-07 15:33:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6829786335897755648
2021-06-28 17:55:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6815323390786748416
2021-06-23 20:23:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6813513647839555584
2021-06-23 16:34:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813479637142802432
2021-06-23 14:42:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813472904446042113
2021-05-27 18:24:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6803734167323463680
2021-01-20 15:30:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6757609289667366913
2020-12-18 19:10:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6745728038874492928
2020-12-09 21:08:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6742127256673554432
2020-10-30 23:11:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6727662249185464321
2020-10-29 17:38:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6727602379522494464
2020-09-10 18:37:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6707410139374342144
2020-01-03 13:39:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6618519267174346752
2019-12-10 16:30:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6608444692516397057
2019-11-07 14:55:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6597968243233701888
2019-08-08 19:05:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6565275001279303681
2019-05-14 02:47:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6533742161924591617
2019-02-27 10:25:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6505766571854622720
2019-01-30 15:12:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A9140601633520467776
2018-09-17 13:08:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6447302591587106817
2018-07-31 14:50:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6428362971537293312
2018-07-12 14:36:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6423131094098550784
2018-02-04 13:46:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7920591338941703586
2018-01-22 14:06:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6360160718083411968
