Event Name,Event Time,Status,External Url
Trust: The Secret Ingredient,"Jun 26, 2025 03:00 PM - Jun 26, 2025 04:00 PM",RELINQUISHED,https://vidlwork.mykajabi.com/trust
"LIVE: THE COMEBACK     (Click ""join here"" to register)","Jun 18, 2020 03:30 PM - Jun 18, 2020 04:00 PM",RELINQUISHED,https://zoom.us/meeting/register/tJcscOGgqTojHdYdRd4BnpZEpQFsX7Cqs8V8)
"Step Into Greatness: Staying Calm, Kind & Productive During Uncertain Times","Apr 30, 2020 03:00 PM - Apr 30, 2020 03:30 PM",RELINQUISHED,https://zoom.us/j/96030085024
Creating a Culture of Accountability,"Aug 27, 2025 03:00 PM - Aug 27, 2025 04:30 PM",RELINQUISHED,https://vidlwork.mykajabi.com/accountability/
Expand Your Energy,"Jun 04, 2024 02:00 PM - Jun 05, 2024 03:30 PM",RELINQUISHED,https://vidlwork.mykajabi.com/expand-your-energy-master-june2024-1
Call to Connection ,"Oct 23, 2025 02:00 PM - Oct 23, 2025 03:00 PM",RELINQUISHED,https://vidlwork.mykajabi.com/connection
"Courageous Feedback: Communicating with Clarity, Conviction and Kindness ","Feb 23, 2021 03:00 PM - Feb 23, 2021 06:00 PM",RELINQUISHED,https://vidlsolutions.mykajabi.com/courageous-feedback-landing-page
